experiment_id,benchmark,split,variant,HOTA,MOTA,IDF1,AssA,DetA,IDSW,Frag,CLR_FP,CLR_FN,tracker_only_fps
DT-VAL-REV-BACKBONE-001,dancetrack,val,revised_backbone,51.098,88.823,50.399,33.333,78.644,2011,3553,1502,21652,366.250
DT-VAL-REV-VIRTUAL-001,dancetrack,val,revised_virtual_only,52.142,88.786,51.169,34.564,78.981,1958,3576,1551,21740,358.315
DT-VAL-REV-CONF-001,dancetrack,val,revised_conf_only,55.356,89.343,54.948,38.792,79.285,1632,3194,1523,20840,374.844
DT-VAL-REV-FULL-001,dancetrack,val,final_no_angle,55.206,89.428,55.086,38.645,79.155,1556,3158,1530,20716,360.656
DT-VAL-REV-ANGLE-001,dancetrack,val,revised_with_angle,46.783,87.402,45.325,28.494,77.167,3306,4129,1894,23165,354.628
M17-ABL-OCSORT-001,mot17,ablation,ocsort,66.441,74.550,77.901,69.112,64.237,229,578,1266,12220,243.083
M17-ABL-REV-BACKBONE-001,mot17,ablation,revised_backbone,66.029,74.726,77.295,68.356,64.181,218,584,1254,12148,147.942
M17-ABL-REV-VIRTUAL-001,mot17,ablation,revised_virtual_only,65.780,74.771,77.133,67.778,64.241,217,575,1255,12124,134.018
M17-ABL-REV-CONF-001,mot17,ablation,revised_conf_only,66.300,75.032,77.588,68.585,64.485,179,533,1254,12022,144.162
M17-ABL-REV-FULL-001,mot17,ablation,final_no_angle,66.418,75.103,77.745,68.662,64.634,168,532,1248,12001,140.886
M20-ABL-OCSORT-001,mot20,ablation,ocsort,72.253,87.406,86.948,71.292,73.413,660,2946,4601,72210,44.114
M20-ABL-REV-BACKBONE-FROZEN-001,mot20,ablation,revised_backbone,70.594,87.257,84.582,68.310,73.166,967,3129,4748,72671,9.316
M20-ABL-REV-CONF-FROZEN-001,mot20,ablation,revised_conf_only,71.089,87.355,85.171,69.167,73.271,848,2934,4723,72215,9.330
M20-ABL-REV-FULL-FROZEN-001,mot20,ablation,final_no_angle,71.009,87.358,85.149,69.037,73.244,839,2923,4744,72184,9.480
